LPI_final,CI_low,CI_high,Title,Year
1.0,,,Europe-Central Asia,1990
1.0031736938062916,,,Europe-Central Asia,1991
0.9701666750439831,,,Europe-Central Asia,1992
0.9459570910376665,,,Europe-Central Asia,1993
0.921455849662084,,,Europe-Central Asia,1994
0.9124397052909055,,,Europe-Central Asia,1995
0.892498681145272,,,Europe-Central Asia,1996
0.8493409192777525,,,Europe-Central Asia,1997
0.8358225092230144,,,Europe-Central Asia,1998
0.8133733325673929,,,Europe-Central Asia,1999
0.7984420319549239,,,Europe-Central Asia,2000
0.8075257168382072,,,Europe-Central Asia,2001
0.7648765988327951,,,Europe-Central Asia,2002
0.7824732099591687,,,Europe-Central Asia,2003
0.7981948378665475,,,Europe-Central Asia,2004
0.8089643079758557,,,Europe-Central Asia,2005
0.8132868830990537,,,Europe-Central Asia,2006
0.8178021554144042,,,Europe-Central Asia,2007
0.806055465638969,,,Europe-Central Asia,2008
0.7844926757259983,,,Europe-Central Asia,2009
0.7559444117066608,,,Europe-Central Asia,2010
0.7266114831608235,,,Europe-Central Asia,2011
0.6970736434273216,,,Europe-Central Asia,2012
0.6852843748784595,,,Europe-Central Asia,2013
0.657272101933671,,,Europe-Central Asia,2014
0.6658056384011065,,,Europe-Central Asia,2015
0.6398825748102119,,,Europe-Central Asia,2016
1.0,0.97,1.03,Netherlands,1990
0.99,0.97,1.02,Netherlands,1991
0.99,0.97,1.01,Netherlands,1992
0.99,0.97,1.0,Netherlands,1993
0.99,0.97,1.0,Netherlands,1994
0.99,0.98,1.0,Netherlands,1995
0.99,0.98,1.0,Netherlands,1996
1.0,0.99,1.0,Netherlands,1997
1.0,0.99,1.01,Netherlands,1998
1.01,1.01,1.02,Netherlands,1999
1.02,1.02,1.03,Netherlands,2000
1.04,1.03,1.04,Netherlands,2001
1.04,1.04,1.05,Netherlands,2002
1.05,1.05,1.06,Netherlands,2003
1.06,1.06,1.07,Netherlands,2004
1.07,1.06,1.07,Netherlands,2005
1.07,1.07,1.08,Netherlands,2006
1.08,1.07,1.08,Netherlands,2007
1.08,1.08,1.09,Netherlands,2008
1.08,1.08,1.09,Netherlands,2009
1.09,1.08,1.09,Netherlands,2010
1.09,1.08,1.09,Netherlands,2011
1.09,1.08,1.09,Netherlands,2012
1.08,1.08,1.09,Netherlands,2013
1.08,1.08,1.09,Netherlands,2014
1.08,1.08,1.08,Netherlands,2015
1.08,1.07,1.08,Netherlands,2016
1.07,1.07,1.08,Netherlands,2017
1.07,1.06,1.07,Netherlands,2018
1.06,1.05,1.07,Netherlands,2019
1.05,1.04,1.06,Netherlands,2020
